Lines of the Navigational file (RINEX format) containing IONO parameters

GPSA   7.4506D-09  1.4901D-08 -5.9605D-08 -1.1921D-07       IONOSPHERIC CORR
GPSB   9.2160D+04  1.3107D+05 -6.5536D+04 -5.2429D+05       IONOSPHERIC CORR
